StudyID,Study,T,N,Mean,SD
264,"Ghardashi Afousi et al., 2018",1,14,1,10.92
265,"Gjellesvik et al., 2020",5,36,-3,9.6
265,"Gjellesvik et al., 2020",1,34,-3,8.59
266,"Hallsworth et al., 2015",5,11,-1,8.4
266,"Hallsworth et al., 2015",1,12,0,9.85
267,"Heydari et al., 2013 A",5,17,-5,1.55
267,"Heydari et al., 2013 A",1,20,5,2.06
268,"Heydari et al., 2013 B",5,20,-4.1,6.2
268,"Heydari et al., 2013 B",1,18,4.3,8.3
269,"Ho et al., 2019",5,30,0.2,13.95
269,"Ho et al., 2019",1,30,-1.5,10.48
270,"Karstoft et al., 2013 ",5,12,-1,2.41
270,"Karstoft et al., 2013 ",1,8,-1,2.41
271,"Kiel et al., 2018",5,8,0,10.53
271,"Kiel et al., 2018",1,10,-1,9.77
272,"Lee et al., 2020",5,12,2,9.85
272,"Lee et al., 2020",1,15,-5,6.6
273,"Madssen et al., 2014",5,24,0.9,9.97
273,"Madssen et al., 2014",1,25,3,9.02
274,"May et al., 2018",5,30,-1,1.26
274,"May et al., 2018",1,30,-1,1.26
275,"Mohr et al., 2014",5,21,-6,3.26
275,"Mohr et al., 2014",1,20,0,2.53
276,"Nytroen et al., 2012",5,24,6,10.48
276,"Nytroen et al., 2012",1,24,-2,12.17
277,"O'Driscoll et al., 2018",5,20,-4.8,2.94
277,"O'Driscoll et al., 2018",1,20,-0.3,3.02
278,"Renteria et al., 2019",5,9,-6.8,8.28
278,"Renteria et al., 2019",1,8,0.1,9.34
279,"Romain et al., 2019",5,38,-3.45,8.98
279,"Romain et al., 2019",1,28,-3.95,8.85
280,"Rustad et al., 2012",5,24,1,12.37
280,"Rustad et al., 2012",1,24,-4,8.85
281,"Sandstad et al., 2015",5,6,-2,6.6
281,"Sandstad et al., 2015",1,6,-4,8.68
282,"Soltani et al., 2019 ID-HIIT",5,10,-8,8.49
282,"Soltani et al., 2019 ID-HIIT",1,10,2,6.08
283,"Soltani et al., 2019 SD-HIIT",5,10,-8,7.81
283,"Soltani et al., 2019 SD-HIIT",1,10,2,6.08
284,"Streese et al., 2019",5,36,0,8.44
284,"Streese et al., 2019",1,33,2,9.22
285,"Tambrus et al., 2018",5,32,-1.06,11.82
285,"Tambrus et al., 2018",1,34,1.65,13.58
286,"Tew et al., 2019",5,15,-4,7.33
286,"Tew et al., 2019",1,15,2,9.06
