StudyID,Study,T,N,Mean,SD
88,"Punia et al., 2019",6,20,-5.2,3.39
88,"Punia et al., 2019",1,20,3.15,2.89
89,"Taylor et al., 2003",6,9,-7.3,6.57
89,"Taylor et al., 2003",1,8,-3.1,6.55
90,"Taylor et al., 2018",6,24,-6.2,4.2
90,"Taylor et al., 2018",1,24,-0.2,4.04
91,"Wiles et al., 2009",6,11,-2.7,2.8
91,"Wiles et al., 2009",1,11,3.1,4.33
92,"Wiles et al., 2016",6,14,-3,3.61
92,"Wiles et al., 2016",1,14,0,3.16
93,"Yamagata et al., 2020",6,10,-3.1,4.46
93,"Yamagata et al., 2020",1,10,-1.6,3.89
94,"Nemoto et al., 2021 Morning",6,27,-2.4,6.22
94,"Nemoto et al., 2021 Morning",1,26,-0.6,5.43
95,"Nemoto et al., 2021 Evening",6,27,-2.3,6.56
95,"Nemoto et al., 2021 Evening",1,26,-0.8,6.26
96,"Ruangthai & Phoemsapthawee., 2019",2,13,-4,6.08
96,"Ruangthai & Phoemsapthawee., 2019",1,12,-1,7.21
96,"Ruangthai & Phoemsapthawee., 2019",3,13,-6.1,5.29
96,"Ruangthai & Phoemsapthawee., 2019",4,16,-8,5.83
97,"McGavock et al., 2004",1,7,-2,6.71
97,"McGavock et al., 2004",4,11,0,6.08
98,"Calders et al., 2011",2,15,0,17.69
98,"Calders et al., 2011",1,15,-2,20.4
98,"Calders et al., 2011",4,15,-2,31.31
99,"Schroeder et al., 2019",2,17,-2,5.19
99,"Schroeder et al., 2019",1,17,0,5.19
99,"Schroeder et al., 2019",3,17,0,5.19
99,"Schroeder et al., 2019",4,18,-4,5.38
100,"Seo et al., 2010",2,7,0.6,10.69
100,"Seo et al., 2010",1,7,-2.6,6.29
100,"Seo et al., 2010",4,8,-3.5,7.34
101,"Sigla et al., 2007",2,60,-3,8.85
101,"Sigla et al., 2007",1,63,-1,7.96
101,"Sigla et al., 2007",3,64,-2,8.59
101,"Sigla et al., 2007",4,64,0,8.59
102,"Sousa et al., 2013",2,15,-5.8,4.91
102,"Sousa et al., 2013",1,17,-3.6,6.6
102,"Sousa et al., 2013",4,16,-11.5,5.77
103,"Yavari et al., 2012",2,20,-8,5.55
103,"Yavari et al., 2012",1,20,1.1,9.66
103,"Yavari et al., 2012",3,20,-6.8,5.77
103,"Yavari et al., 2012",4,20,-5.3,5.82
104,"Connolly et al., 2017",2,15,-2,5
104,"Connolly et al., 2017",1,15,1,5.4
104,"Connolly et al., 2017",5,15,0,5.69
105,"Hanssen et al., 2017",2,12,-3.6,4.15
105,"Hanssen et al., 2017",1,12,-0.9,4.75
105,"Hanssen et al., 2017",5,13,-2,4.24
106,"Albright et al., 1991 F",2,21,0,6.71
106,"Albright et al., 1991 F",1,20,1,5.06
107,"Albright et al., 1991 M",2,21,-5,6.08
107,"Albright et al., 1991 M",1,21,-1,6.08
108,"Aoike et al., 2015",2,14,-6.6,5.46
108,"Aoike et al., 2015",1,15,-0.9,4.87
109,"Araiza et al., 2006",2,15,2,7.21
109,"Araiza et al., 2006",1,15,3,6
110,"Arija et al., 2017",2,260,-3.7,5.69
110,"Arija et al., 2017",1,104,-1.3,6.38
111,"Arora et al., 2009",2,10,-3,5.08
111,"Arora et al., 2009",1,10,-1,2.64
111,"Arora et al., 2009",3,10,-5,2.48
112,"Asikainen et al., 2003 W1",2,46,-0.9,4.4
112,"Asikainen et al., 2003 W1",1,45,1.2,7.11
113,"Asikainen et al., 2003 W2",2,43,-1.5,4.68
113,"Asikainen et al., 2003 W2",1,45,1.2,7.11
114,"Asikainen et al., 2003 W3",2,21,-3.5,5.47
